timestamp,level,server_name,client_ip,http_method,endpoint,http_status,response_time_ms,user_agent,message
2025-01-15 08:00:00,WARNING,app-server-01,192.168.1.155,POST,/api/search,401,55,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,POST request to /api/search completed with status 401
2025-01-15 08:00:30,WARNING,web-server-01,192.168.1.57,POST,/api/search,401,50,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,POST request to /api/search completed with status 401
2025-01-15 08:01:00,INFO,web-server-01,192.168.1.27,POST,/api/products,200,52,PostmanRuntime/7.0.0,POST request to /api/products completed with status 200
2025-01-15 08:01:30,DEBUG,web-server-01,192.168.1.183,POST,/api/payment,200,49,Chrome/120.0.0.0 Safari/537.36,POST request to /api/payment completed with status 200
2025-01-15 08:02:00,INFO,web-server-01,192.168.1.177,DELETE,/api/payment,200,37,Chrome/120.0.0.0 Safari/537.36,DELETE request to /api/payment completed with status 200
2025-01-15 08:02:30,INFO,db-server-01,192.168.1.165,DELETE,/api/payment,200,58,Chrome/120.0.0.0 Safari/537.36,DELETE request to /api/payment completed with status 200
2025-01-15 08:03:00,INFO,db-server-01,192.168.1.234,POST,/api/users,200,128,Chrome/120.0.0.0 Safari/537.36,POST request to /api/users completed with status 200
2025-01-15 08:03:30,DEBUG,db-server-01,192.168.1.67,GET,/api/orders,200,86,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,GET request to /api/orders completed with status 200
2025-01-15 08:04:00,DEBUG,web-server-01,192.168.1.226,GET,/api/search,200,28,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,GET request to /api/search completed with status 200
2025-01-15 08:04:30,WARNING,app-server-01,192.168.1.8,DELETE,/api/payment,401,47,Chrome/120.0.0.0 Safari/537.36,DELETE request to /api/payment completed with status 401
2025-01-15 08:05:00,INFO,db-server-01,192.168.1.149,PUT,/api/users,200,100,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,PUT request to /api/users completed with status 200
2025-01-15 08:05:30,INFO,web-server-01,192.168.1.121,GET,/api/orders,200,73,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,GET request to /api/orders completed with status 200
2025-01-15 08:06:00,INFO,db-server-01,192.168.1.228,PUT,/api/reports,200,120,Chrome/120.0.0.0 Safari/537.36,PUT request to /api/reports completed with status 200
2025-01-15 08:06:30,INFO,db-server-01,192.168.1.14,DELETE,/api/search,200,66,PostmanRuntime/7.0.0,DELETE request to /api/search completed with status 200
2025-01-15 08:07:00,DEBUG,app-server-01,192.168.1.221,POST,/api/payment,200,79,PostmanRuntime/7.0.0,POST request to /api/payment completed with status 200
2025-01-15 08:07:30,INFO,app-server-01,192.168.1.125,PUT,/api/orders,200,38,Firefox/121.0,PUT request to /api/orders completed with status 200
2025-01-15 08:08:00,DEBUG,web-server-01,192.168.1.73,PUT,/api/products,200,38,Firefox/121.0,PUT request to /api/products completed with status 200
2025-01-15 08:08:30,INFO,app-server-01,192.168.1.168,POST,/api/orders,200,30,Chrome/120.0.0.0 Safari/537.36,POST request to /api/orders completed with status 200
2025-01-15 08:09:00,INFO,app-server-01,192.168.1.57,POST,/api/reports,200,46,PostmanRuntime/7.0.0,POST request to /api/reports completed with status 200
2025-01-15 08:09:30,WARNING,web-server-01,192.168.1.230,GET,/api/users,404,14,Chrome/120.0.0.0 Safari/537.36,GET request to /api/users completed with status 404
